"filename", "language", "JSON", "YAML", "Markdown", "JavaScript", "Ignore", "XML", "JavaScript JSX", "JSON with Comments", "HTML", "PostCSS", "Rust", "comment", "blank", "total"
"h:\tools\cyclemetry\.agents\AGENTS.md", "Markdown", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 85
"h:\tools\cyclemetry\.agents\backend-refactor-v2.md", "Markdown", 0, 0, 1625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 576, 2201
"h:\tools\cyclemetry\.agents\backend-refactor.md", "Markdown", 0, 0, 1525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 535, 2060
"h:\tools\cyclemetry\.agents\editor-resize-bug.md", "Markdown", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 63
"h:\tools\cyclemetry\.agents\frontend-refactor.md", "Markdown", 0, 0, 987, 0, 0, 0, 0, 0, 0, 0, 0, 0, 421, 1408
"h:\tools\cyclemetry\.github\workflows\release.yml", "YAML", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 85
"h:\tools\cyclemetry\.github\workflows\semantic-release.yml", "YAML", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 42
"h:\tools\cyclemetry\.releaserc.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"h:\tools\cyclemetry\LICENSE.md", "Markdown", 0, 0, 508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 616
"h:\tools\cyclemetry\README.md", "Markdown", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 99
"h:\tools\cyclemetry\app\.prettierignore", "Ignore", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"h:\tools\cyclemetry\app\.prettierrc", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"h:\tools\cyclemetry\app\components.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"h:\tools\cyclemetry\app\eslint.config.js", "JavaScript", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 3, 3, 63
"h:\tools\cyclemetry\app\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"h:\tools\cyclemetry\app\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"h:\tools\cyclemetry\app\package-lock.json", "JSON", 7407, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7408
"h:\tools\cyclemetry\app\package.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"h:\tools\cyclemetry\app\pnpm-lock.yaml", "YAML", 0, 3483, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 840, 4323
"h:\tools\cyclemetry\app\public\logo.svg", "XML", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 1, 2, 145
"h:\tools\cyclemetry\app\scripts\generate_parse_debug_from_raw_samples.mjs", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"h:\tools\cyclemetry\app\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 11, 10, 152
"h:\tools\cyclemetry\app\src\api\activityCache.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 22, 6, 44
"h:\tools\cyclemetry\app\src\api\activityGapUtils.js", "JavaScript", 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 89, 45, 368
"h:\tools\cyclemetry\app\src\api\activityMetricSeries.js", "JavaScript", 0, 0, 0, 294, 0, 0, 0, 0, 0, 0, 0, 105, 58, 457
"h:\tools\cyclemetry\app\src\api\activityParserUtils.js", "JavaScript", 0, 0, 0, 215, 0, 0, 0, 0, 0, 0, 0, 84, 31, 330
"h:\tools\cyclemetry\app\src\api\backend.js", "JavaScript", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 128, 29, 288
"h:\tools\cyclemetry\app\src\api\fitParserUtils.js", "JavaScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 16, 10, 95
"h:\tools\cyclemetry\app\src\api\gpxUtils.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 78, 35, 302
"h:\tools\cyclemetry\app\src\api\renderVideo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 0, 47, 28, 292
"h:\tools\cyclemetry\app\src\components\ui\accordion.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 29, 8, 73
"h:\tools\cyclemetry\app\src\components\ui\alert.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 25, 8, 66
"h:\tools\cyclemetry\app\src\components\ui\badge.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 12, 7, 44
"h:\tools\cyclemetry\app\src\components\ui\blur-input.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 16, 16, 127
"h:\tools\cyclemetry\app\src\components\ui\button.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 13, 7, 57
"h:\tools\cyclemetry\app\src\components\ui\card.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 52, 11, 98
"h:\tools\cyclemetry\app\src\components\ui\color-picker.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 1255, 0, 0, 0, 0, 176, 177, 1608
"h:\tools\cyclemetry\app\src\components\ui\font-select-field.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 15, 7, 77
"h:\tools\cyclemetry\app\src\components\ui\hex-color-picker.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 18, 16, 191
"h:\tools\cyclemetry\app\src\components\ui\input.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 12, 6, 38
"h:\tools\cyclemetry\app\src\components\ui\label.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 10, 5, 33
"h:\tools\cyclemetry\app\src\components\ui\popover.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 51, 11, 100
"h:\tools\cyclemetry\app\src\components\ui\progress.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 11, 5, 35
"h:\tools\cyclemetry\app\src\components\ui\select.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 76, 14, 211
"h:\tools\cyclemetry\app\src\components\ui\separator.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 12, 6, 37
"h:\tools\cyclemetry\app\src\components\ui\simple-tooltip.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 14, 7, 41
"h:\tools\cyclemetry\app\src\components\ui\slider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 14, 7, 66
"h:\tools\cyclemetry\app\src\components\ui\switch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 10, 5, 38
"h:\tools\cyclemetry\app\src\components\ui\tabs.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 27, 8, 70
"h:\tools\cyclemetry\app\src\components\ui\textarea.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 10, 5, 30
"h:\tools\cyclemetry\app\src\components\ui\visually-hidden-input.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 10, 26, 132
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-cadence.svg", "XML", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 1, 55
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-heartrate.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-power.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-speed.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-temperature.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-time.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"h:\tools\cyclemetry\app\src\features\app-shell\components\ActionButtons.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 16, 4, 52
"h:\tools\cyclemetry\app\src\features\app-shell\components\ActivitySection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 24, 9, 155
"h:\tools\cyclemetry\app\src\features\app-shell\components\AppHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 17, 6, 105
"h:\tools\cyclemetry\app\src\features\app-shell\components\ControlPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 11, 5, 48
"h:\tools\cyclemetry\app\src\features\app-shell\components\EditorToolbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 21, 5, 138
"h:\tools\cyclemetry\app\src\features\app-shell\components\ErrorAlert.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 7, 6, 43
"h:\tools\cyclemetry\app\src\features\app-shell\components\LoadingOverlay.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 18, 4, 47
"h:\tools\cyclemetry\app\src\features\app-shell\components\OnboardingState.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 7, 6, 68
"h:\tools\cyclemetry\app\src\features\app-shell\components\TitleBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 4, 4, 43
"h:\tools\cyclemetry\app\src\features\app-shell\hooks\useActivityImport.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 22, 8, 62
"h:\tools\cyclemetry\app\src\features\app-shell\hooks\useAppBootstrap.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 13, 7, 47
"h:\tools\cyclemetry\app\src\features\app-shell\hooks\useBackendStatus.js", "JavaScript", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 8, 16, 94
"h:\tools\cyclemetry\app\src\features\app-shell\hooks\useEditorShellState.js", "JavaScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 42, 15, 116
"h:\tools\cyclemetry\app\src\features\app-shell\index.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 2, 16
"h:\tools\cyclemetry\app\src\features\app-shell\utils\backendDebug.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 22, 12, 72
"h:\tools\cyclemetry\app\src\features\app-shell\utils\templateGroups.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 16, 8, 71
"h:\tools\cyclemetry\app\src\features\overlay-editor\components\OverlayCanvas.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 232, 0, 0, 0, 0, 19, 15, 266
"h:\tools\cyclemetry\app\src\features\overlay-editor\components\OverlayEditor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 0, 33, 16, 257
"h:\tools\cyclemetry\app\src\features\overlay-editor\components\OverlayMoveable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 24, 8, 114
"h:\tools\cyclemetry\app\src\features\overlay-editor\data\metricWidgetAssets.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 9, 5, 36
"h:\tools\cyclemetry\app\src\features\overlay-editor\data\overlayEditorConfig.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 20, 5, 55
"h:\tools\cyclemetry\app\src\features\overlay-editor\data\overlayEditorConstants.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 11, 8, 51
"h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\createOverlayMoveableHandlers.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 28, 4, 48
"h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useDragHandlers.js", "JavaScript", 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 26, 26, 197
"h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useEditorKeyboard.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 13, 7, 44
"h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useEditorViewport.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 9, 8, 40
"h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useOverlayEditorState.js", "JavaScript", 0, 0, 0, 309, 0, 0, 0, 0, 0, 0, 0, 31, 43, 383
"h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useResizeHandlers.js", "JavaScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 17, 10, 96
"h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useRotateHandlers.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 17, 9, 80
"h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useScaleHandlers.js", "JavaScript", 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 19, 16, 141
"h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useWidgetDraftState.js", "JavaScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 28, 14, 103
"h:\tools\cyclemetry\app\src\features\overlay-editor\index.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 6, 7, 35
"h:\tools\cyclemetry\app\src\features\overlay-editor\utils\createOverlayPointerHandlers.js", "JavaScript", 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 50, 37, 261
"h:\tools\cyclemetry\app\src\features\overlay-editor\utils\exportRange.js", "JavaScript", 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 90, 45, 335
"h:\tools\cyclemetry\app\src\features\overlay-editor\utils\overlayEditorHelpers.js", "JavaScript", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 73, 18, 168
"h:\tools\cyclemetry\app\src\features\overlay-editor\utils\overlayEditorUtils.js", "JavaScript", 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 71, 48, 284
"h:\tools\cyclemetry\app\src\features\overlay-editor\utils\widgetDomHelpers.js", "JavaScript", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 50, 22, 160
"h:\tools\cyclemetry\app\src\features\player\components\OverlayPlayer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 10, 5, 102
"h:\tools\cyclemetry\app\src\features\player\hooks\useOverlayPlayerState.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 14, 6, 40
"h:\tools\cyclemetry\app\src\features\player\hooks\usePlaybackEngine.js", "JavaScript", 0, 0, 0, 267, 0, 0, 0, 0, 0, 0, 0, 44, 44, 355
"h:\tools\cyclemetry\app\src\features\player\hooks\usePlayerKeyboard.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 17, 11, 69
"h:\tools\cyclemetry\app\src\features\player\hooks\usePlayerStore.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 8, 3, 35
"h:\tools\cyclemetry\app\src\features\player\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6
"h:\tools\cyclemetry\app\src\features\player\utils\playerTimeline.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 27, 9, 63
"h:\tools\cyclemetry\app\src\features\render-video\components\ExportRangeSettings.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 11, 7, 86
"h:\tools\cyclemetry\app\src\features\render-video\components\RenderProgressPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 15, 14, 118
"h:\tools\cyclemetry\app\src\features\render-video\components\RenderVideoDialog.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 15, 15, 254
"h:\tools\cyclemetry\app\src\features\render-video\data\bitrateDefaults.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 9, 3, 44
"h:\tools\cyclemetry\app\src\features\render-video\data\renderConstants.js", "JavaScript", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 4, 6, 97
"h:\tools\cyclemetry\app\src\features\render-video\hooks\useRenderCompletion.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 14, 9, 63
"h:\tools\cyclemetry\app\src\features\render-video\hooks\useRenderDialogState.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 15, 11, 68
"h:\tools\cyclemetry\app\src\features\render-video\hooks\useRenderProgressPolling.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 10, 6, 49
"h:\tools\cyclemetry\app\src\features\render-video\hooks\useRenderVideoDerivedState.js", "JavaScript", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 11, 6, 93
"h:\tools\cyclemetry\app\src\features\render-video\hooks\useRenderVideoDialogState.js", "JavaScript", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 22, 17, 152
"h:\tools\cyclemetry\app\src\features\render-video\hooks\useRenderVideoEffects.js", "JavaScript", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 15, 14, 97
"h:\tools\cyclemetry\app\src\features\render-video\hooks\useRenderWorkflow.js", "JavaScript", 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 12, 13, 200
"h:\tools\cyclemetry\app\src\features\render-video\index.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 2, 10
"h:\tools\cyclemetry\app\src\features\render-video\utils\bitrateDefaults.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 14, 4, 30
"h:\tools\cyclemetry\app\src\features\render-video\utils\codecUtils.js", "JavaScript", 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 77, 29, 222
"h:\tools\cyclemetry\app\src\features\render-video\utils\format.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 16, 5, 35
"h:\tools\cyclemetry\app\src\features\scene-settings\components\GlobalSettingsSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 13, 7, 167
"h:\tools\cyclemetry\app\src\features\scene-settings\components\OverlaySettingsSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 25, 9, 184
