"filename", "language", "JSON", "Rust", "Markdown", "YAML", "JavaScript", "XML", "HTML", "JSON with Comments", "Ignore", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"h:\tools\cyclemetry\.agents\agents.md", "Markdown", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 85
"h:\tools\cyclemetry\.agents\backend-refactor-Phase1-DSPro.md", "Markdown", 0, 0, 827, 0, 0, 0, 0, 0, 0, 0, 0, 0, 281, 1108
"h:\tools\cyclemetry\.agents\backend-refactor-Phase2.md", "Markdown", 0, 0, 764, 0, 0, 0, 0, 0, 0, 0, 0, 0, 203, 967
"h:\tools\cyclemetry\.agents\backend-refactor-v2.md", "Markdown", 0, 0, 1646, 0, 0, 0, 0, 0, 0, 0, 0, 0, 622, 2268
"h:\tools\cyclemetry\.agents\composite-1080p.json", "JSON", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175
"h:\tools\cyclemetry\.agents\composite-4k.json", "JSON", 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 214
"h:\tools\cyclemetry\.agents\frontend-refactor.md", "Markdown", 0, 0, 1009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 429, 1438
"h:\tools\cyclemetry\.agents\gpu-render.md", "Markdown", 0, 0, 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 413
"h:\tools\cyclemetry\.github\workflows\release.yml", "YAML", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 13, 85
"h:\tools\cyclemetry\.github\workflows\semantic-release.yml", "YAML", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 9, 42
"h:\tools\cyclemetry\.releaserc.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"h:\tools\cyclemetry\LICENSE.md", "Markdown", 0, 0, 508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 616
"h:\tools\cyclemetry\README.md", "Markdown", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 99
"h:\tools\cyclemetry\app\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"h:\tools\cyclemetry\app\.prettierrc", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"h:\tools\cyclemetry\app\components.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"h:\tools\cyclemetry\app\eslint.config.js", "JavaScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 3, 3, 63
"h:\tools\cyclemetry\app\index.html", "HTML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"h:\tools\cyclemetry\app\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"h:\tools\cyclemetry\app\package-lock.json", "JSON", 7407, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7408
"h:\tools\cyclemetry\app\package.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"h:\tools\cyclemetry\app\pnpm-lock.yaml", "YAML", 0, 0, 0, 3483, 0, 0, 0, 0, 0, 0, 0, 0, 840, 4323
"h:\tools\cyclemetry\app\public\logo.svg", "XML", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 1, 2, 145
"h:\tools\cyclemetry\app\scripts\generate_parse_debug_from_raw_samples.mjs", "JavaScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 9, 45
"h:\tools\cyclemetry\app\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 0, 11, 10, 152
"h:\tools\cyclemetry\app\src\api\backend.js", "JavaScript", 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 128, 29, 288
"h:\tools\cyclemetry\app\src\components\ui\accordion.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 29, 8, 73
"h:\tools\cyclemetry\app\src\components\ui\alert.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 25, 8, 66
"h:\tools\cyclemetry\app\src\components\ui\badge.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 12, 7, 44
"h:\tools\cyclemetry\app\src\components\ui\blur-input.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 16, 16, 127
"h:\tools\cyclemetry\app\src\components\ui\button.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 13, 7, 57
"h:\tools\cyclemetry\app\src\components\ui\color-picker.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1255, 0, 176, 177, 1608
"h:\tools\cyclemetry\app\src\components\ui\font-select-field.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 15, 7, 77
"h:\tools\cyclemetry\app\src\components\ui\hex-color-picker.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 18, 16, 191
"h:\tools\cyclemetry\app\src\components\ui\input.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 12, 6, 38
"h:\tools\cyclemetry\app\src\components\ui\label.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 10, 5, 33
"h:\tools\cyclemetry\app\src\components\ui\popover.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 51, 11, 100
"h:\tools\cyclemetry\app\src\components\ui\progress.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 11, 5, 35
"h:\tools\cyclemetry\app\src\components\ui\select.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 76, 14, 211
"h:\tools\cyclemetry\app\src\components\ui\separator.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 12, 6, 37
"h:\tools\cyclemetry\app\src\components\ui\simple-tooltip.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 14, 7, 41
"h:\tools\cyclemetry\app\src\components\ui\slider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 14, 7, 66
"h:\tools\cyclemetry\app\src\components\ui\switch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 10, 5, 38
"h:\tools\cyclemetry\app\src\components\ui\tabs.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 27, 8, 70
"h:\tools\cyclemetry\app\src\components\ui\visually-hidden-input.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 10, 26, 132
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-cadence.svg", "XML", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 1, 55
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-course.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-elevation.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-gradient.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-heartrate.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-label.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-power.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-speed.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-temperature.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-time.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
