"filename", "language", "Rust", "YAML", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "HTML", "JSON", "Ignore", "comment", "blank", "total"
"h:\tools\cyclemetry\.github\workflows\release.yml", "YAML", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 13, 85
"h:\tools\cyclemetry\.github\workflows\semantic-release.yml", "YAML", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 9, 42
"h:\tools\cyclemetry\app\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"h:\tools\cyclemetry\app\.prettierrc", "JSON", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"h:\tools\cyclemetry\app\eslint.config.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 3, 3, 63
"h:\tools\cyclemetry\app\index.html", "HTML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"h:\tools\cyclemetry\app\public\logo.svg", "XML", 0, 0, 0, 0, 0, 142, 0, 0, 0, 1, 2, 145
"h:\tools\cyclemetry\app\scripts\generate_parse_debug_from_raw_samples.mjs", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 9, 45
"h:\tools\cyclemetry\app\src\App.jsx", "JavaScript JSX", 0, 0, 0, 131, 0, 0, 0, 0, 0, 11, 10, 152
"h:\tools\cyclemetry\app\src\api\backend.js", "JavaScript", 0, 0, 131, 0, 0, 0, 0, 0, 0, 128, 29, 288
"h:\tools\cyclemetry\app\src\components\ui\accordion.jsx", "JavaScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 0, 29, 8, 73
"h:\tools\cyclemetry\app\src\components\ui\alert.jsx", "JavaScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 25, 8, 66
"h:\tools\cyclemetry\app\src\components\ui\badge.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 12, 7, 44
"h:\tools\cyclemetry\app\src\components\ui\blur-input.jsx", "JavaScript JSX", 0, 0, 0, 95, 0, 0, 0, 0, 0, 16, 16, 127
"h:\tools\cyclemetry\app\src\components\ui\button.jsx", "JavaScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 13, 7, 57
"h:\tools\cyclemetry\app\src\components\ui\color-picker.jsx", "JavaScript JSX", 0, 0, 0, 1255, 0, 0, 0, 0, 0, 176, 177, 1608
"h:\tools\cyclemetry\app\src\components\ui\font-select-field.jsx", "JavaScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 0, 15, 7, 77
"h:\tools\cyclemetry\app\src\components\ui\hex-color-picker.jsx", "JavaScript JSX", 0, 0, 0, 157, 0, 0, 0, 0, 0, 18, 16, 191
"h:\tools\cyclemetry\app\src\components\ui\input.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 12, 6, 38
"h:\tools\cyclemetry\app\src\components\ui\label.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 10, 5, 33
"h:\tools\cyclemetry\app\src\components\ui\popover.jsx", "JavaScript JSX", 0, 0, 0, 38, 0, 0, 0, 0, 0, 51, 11, 100
"h:\tools\cyclemetry\app\src\components\ui\progress.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 11, 5, 35
"h:\tools\cyclemetry\app\src\components\ui\select.jsx", "JavaScript JSX", 0, 0, 0, 121, 0, 0, 0, 0, 0, 76, 14, 211
"h:\tools\cyclemetry\app\src\components\ui\separator.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 12, 6, 37
"h:\tools\cyclemetry\app\src\components\ui\simple-tooltip.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 14, 7, 41
"h:\tools\cyclemetry\app\src\components\ui\slider.jsx", "JavaScript JSX", 0, 0, 0, 45, 0, 0, 0, 0, 0, 14, 7, 66
"h:\tools\cyclemetry\app\src\components\ui\switch.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 10, 5, 38
"h:\tools\cyclemetry\app\src\components\ui\tabs.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 27, 8, 70
"h:\tools\cyclemetry\app\src\components\ui\visually-hidden-input.jsx", "JavaScript JSX", 0, 0, 0, 96, 0, 0, 0, 0, 0, 10, 26, 132
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-cadence.svg", "XML", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 1, 55
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-course.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-elevation.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-gradient.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-heartrate.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-label.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-power.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-speed.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-temperature.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-time.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"h:\tools\cyclemetry\app\src\features\app-shell\components\ActionButtons.jsx", "JavaScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 16, 4, 52
"h:\tools\cyclemetry\app\src\features\app-shell\components\ActivitySection.jsx", "JavaScript JSX", 0, 0, 0, 122, 0, 0, 0, 0, 0, 24, 9, 155
"h:\tools\cyclemetry\app\src\features\app-shell\components\AppHeader.jsx", "JavaScript JSX", 0, 0, 0, 82, 0, 0, 0, 0, 0, 17, 6, 105
"h:\tools\cyclemetry\app\src\features\app-shell\components\ControlPanel.jsx", "JavaScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 11, 5, 48
