Date : 2026-05-23 02:11:55
Directory : h:\tools\cyclemetry
Total : 271 files,  32405 codes, 7123 comments, 4143 blanks, all 43671 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| Rust           |         77 |     15,910 |      2,731 |      1,611 |     20,252 |
| JavaScript     |        113 |      9,416 |      3,028 |      1,789 |     14,233 |
| JavaScript JSX |         59 |      6,165 |      1,357 |        674 |      8,196 |
| XML            |         15 |        516 |          3 |         16 |        535 |
| PostCSS        |          1 |        259 |          4 |         27 |        290 |
| YAML           |          3 |        107 |          0 |         23 |        130 |
| HTML           |          1 |         19 |          0 |          1 |         20 |
| JSON           |          1 |          8 |          0 |          1 |          9 |
| Ignore         |          1 |          5 |          0 |          1 |          6 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                             |        271 |     32,405 |      7,123 |      4,143 |     43,671 |
| . (Files)                                                                                     |          1 |          2 |          0 |          1 |          3 |
| .github                                                                                       |          2 |        105 |          0 |         22 |        127 |
| .github\workflows                                                                             |          2 |        105 |          0 |         22 |        127 |
| app                                                                                           |        184 |     15,681 |      4,389 |      2,443 |     22,513 |
| app (Files)                                                                                   |          5 |        174 |         11 |         18 |        203 |
| app\public                                                                                    |          1 |        142 |          1 |          2 |        145 |
| app\scripts                                                                                   |          1 |         36 |          0 |          9 |         45 |
| app\src                                                                                       |        177 |     15,329 |      4,377 |      2,414 |     22,120 |
| app\src (Files)                                                                               |          3 |        399 |         18 |         40 |        457 |
| app\src\api                                                                                   |          1 |        131 |        128 |         29 |        288 |
| app\src\components                                                                            |         29 |      2,235 |        551 |        356 |      3,142 |
| app\src\components\ui                                                                         |         19 |      2,147 |        551 |        346 |      3,044 |
| app\src\components\widgets                                                                    |         10 |         88 |          0 |         10 |         98 |
| app\src\components\widgets\icons                                                              |         10 |         88 |          0 |         10 |         98 |
| app\src\features                                                                              |        113 |      9,730 |      2,769 |      1,408 |     13,907 |
| app\src\features\app-shell                                                                    |         16 |        806 |        244 |        116 |      1,166 |
| app\src\features\app-shell (Files)                                                            |          1 |         10 |          4 |          2 |         16 |
| app\src\features\app-shell\components                                                         |          9 |        525 |        125 |         49 |        699 |
| app\src\features\app-shell\hooks                                                              |          4 |        186 |         77 |         45 |        308 |
| app\src\features\app-shell\utils                                                              |          2 |         85 |         38 |         20 |        143 |
| app\src\features\overlay-editor                                                               |         21 |      2,176 |        628 |        371 |      3,175 |
| app\src\features\overlay-editor (Files)                                                       |          1 |         22 |          6 |          7 |         35 |
| app\src\features\overlay-editor\components                                                    |          3 |        533 |         76 |         40 |        649 |
| app\src\features\overlay-editor\data                                                          |          3 |         56 |         27 |         14 |         97 |
| app\src\features\overlay-editor\hooks                                                         |          9 |        865 |        193 |        142 |      1,200 |
| app\src\features\overlay-editor\utils                                                         |          5 |        700 |        326 |        168 |      1,194 |
| app\src\features\player                                                                       |          7 |        465 |        115 |         80 |        660 |
| app\src\features\player (Files)                                                               |          1 |          1 |          3 |          2 |          6 |
| app\src\features\player\components                                                            |          1 |         87 |         10 |          5 |        102 |
| app\src\features\player\hooks                                                                 |          4 |        352 |         83 |         64 |        499 |
| app\src\features\player\utils                                                                 |          1 |         25 |         19 |          9 |         53 |
| app\src\features\render-video                                                                 |         18 |      1,410 |        317 |        192 |      1,919 |
| app\src\features\render-video (Files)                                                         |          1 |          4 |          4 |          2 |         10 |
| app\src\features\render-video\components                                                      |          3 |        381 |         41 |         36 |        458 |
| app\src\features\render-video\data                                                            |          2 |        116 |         17 |          9 |        142 |
| app\src\features\render-video\hooks                                                           |          7 |        548 |         99 |         77 |        724 |
| app\src\features\render-video\utils                                                           |          5 |        361 |        156 |         68 |        585 |
| app\src\features\scene-settings                                                               |          8 |        706 |        109 |         66 |        881 |
| app\src\features\scene-settings (Files)                                                       |          1 |          5 |          5 |          2 |         12 |
| app\src\features\scene-settings\components                                                    |          4 |        452 |         67 |         29 |        548 |
| app\src\features\scene-settings\data                                                          |          1 |         30 |          3 |          3 |         36 |
| app\src\features\scene-settings\hooks                                                         |          1 |        192 |         19 |         26 |        237 |
| app\src\features\scene-settings\utils                                                         |          1 |         27 |         15 |          6 |         48 |
| app\src\features\template-manager                                                             |          7 |        545 |        152 |         92 |        789 |
| app\src\features\template-manager (Files)                                                     |          1 |          4 |          4 |          2 |         10 |
| app\src\features\template-manager\components                                                  |          1 |         38 |         12 |          5 |         55 |
| app\src\features\template-manager\data                                                        |          1 |         84 |         16 |         14 |        114 |
| app\src\features\template-manager\hooks                                                       |          2 |        241 |         39 |         34 |        314 |
| app\src\features\template-manager\utils                                                       |          2 |        178 |         81 |         37 |        296 |
| app\src\features\video-preview                                                                |          5 |        467 |        140 |        104 |        711 |
| app\src\features\video-preview (Files)                                                        |          1 |          3 |          4 |          2 |          9 |
| app\src\features\video-preview\data                                                           |          1 |          9 |         17 |         10 |         36 |
| app\src\features\video-preview\hooks                                                          |          3 |        455 |        119 |         92 |        666 |
| app\src\features\widget-editor                                                                |         15 |      1,331 |        362 |        131 |      1,824 |
| app\src\features\widget-editor (Files)                                                        |          1 |          1 |          4 |          2 |          7 |
| app\src\features\widget-editor\components                                                     |         10 |      1,023 |        250 |         79 |      1,352 |
| app\src\features\widget-editor\data                                                           |          2 |         98 |         19 |         14 |        131 |
| app\src\features\widget-editor\hooks                                                          |          1 |        103 |         28 |         19 |        150 |
| app\src\features\widget-editor\utils                                                          |          1 |        106 |         61 |         17 |        184 |
| app\src\features\widget-preview                                                               |         16 |      1,824 |        702 |        256 |      2,782 |
| app\src\features\widget-preview (Files)                                                       |          1 |          7 |          6 |          4 |         17 |
| app\src\features\widget-preview\components                                                    |          6 |        784 |        210 |         63 |      1,057 |
| app\src\features\widget-preview\hooks                                                         |          1 |         24 |         12 |          9 |         45 |
| app\src\features\widget-preview\utils                                                         |          8 |      1,009 |        474 |        180 |      1,663 |
| app\src\hooks                                                                                 |          5 |        142 |         55 |         35 |        232 |
| app\src\lib                                                                                   |         20 |      1,858 |        749 |        382 |      2,989 |
| app\src\lib (Files)                                                                           |         13 |        835 |        353 |        196 |      1,384 |
| app\src\lib\activity                                                                          |          7 |      1,023 |        396 |        186 |      1,605 |
| app\src\store                                                                                 |          6 |        834 |        107 |        164 |      1,105 |
| app\src\store (Files)                                                                         |          2 |        164 |         77 |         32 |        273 |
| app\src\store\slices                                                                          |          4 |        670 |         30 |        132 |        832 |
| scripts                                                                                       |          3 |        421 |          1 |         62 |        484 |
| src-tauri                                                                                     |         81 |     16,196 |      2,733 |      1,615 |     20,544 |
| src-tauri (Files)                                                                             |          1 |          6 |          0 |          1 |          7 |
| src-tauri\icons                                                                               |          4 |        286 |          2 |          4 |        292 |
| src-tauri\icons (Files)                                                                       |          2 |        277 |          2 |          4 |        283 |
| src-tauri\icons\android                                                                       |          2 |          9 |          0 |          0 |          9 |
| src-tauri\icons\android\mipmap-anydpi-v26                                                     |          1 |          5 |          0 |          0 |          5 |
| src-tauri\icons\android\values                                                                |          1 |          4 |          0 |          0 |          4 |
| src-tauri\ovrley_core                                                                         |         64 |     13,499 |      2,447 |      1,262 |     17,208 |
| src-tauri\ovrley_core\src                                                                     |         43 |     10,436 |      1,916 |        863 |     13,215 |
| src-tauri\ovrley_core\src (Files)                                                             |          6 |        235 |        127 |         44 |        406 |
| src-tauri\ovrley_core\src\activity                                                            |          4 |        571 |        187 |         43 |        801 |
| src-tauri\ovrley_core\src\commands                                                            |          1 |        337 |         55 |         47 |        439 |
| src-tauri\ovrley_core\src\config                                                              |          1 |        490 |        107 |         26 |        623 |
| src-tauri\ovrley_core\src\encode                                                              |         14 |      4,560 |        868 |        341 |      5,769 |
| src-tauri\ovrley_core\src\render                                                              |         17 |      4,243 |        572 |        362 |      5,177 |
| src-tauri\ovrley_core\src\render (Files)                                                      |          4 |      1,208 |        186 |        107 |      1,501 |
| src-tauri\ovrley_core\src\render\widgets                                                      |         13 |      3,035 |        386 |        255 |      3,676 |
| src-tauri\ovrley_core\src\render\widgets (Files)                                              |         10 |      2,913 |        331 |        236 |      3,480 |
| src-tauri\ovrley_core\src\render\widgets\tests                                                |          3 |        122 |         55 |         19 |        196 |
| src-tauri\ovrley_core\tests                                                                   |         21 |      3,063 |        531 |        399 |      3,993 |
| src-tauri\ovrley_core\tests (Files)                                                           |         19 |      3,022 |        482 |        383 |      3,887 |
| src-tauri\ovrley_core\tests\common                                                            |          2 |         41 |         49 |         16 |        106 |
| src-tauri\src                                                                                 |         11 |      2,201 |        238 |        323 |      2,762 |
| src-tauri\src (Files)                                                                         |          4 |        684 |        216 |        108 |      1,008 |
| src-tauri\src\bin                                                                             |          7 |      1,517 |         22 |        215 |      1,754 |
| src-tauri\tests                                                                               |          1 |        204 |         46 |         25 |        275 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                      | language       | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| h:\tools\cyclemetry\.github\workflows\release.yml                                             | YAML           |         72 |          0 |         13 |         85 |
| h:\tools\cyclemetry\.github\workflows\semantic-release.yml                                    | YAML           |         33 |          0 |          9 |         42 |
| h:\tools\cyclemetry\app\.prettierignore                                                       | Ignore         |          5 |          0 |          1 |          6 |
| h:\tools\cyclemetry\app\.prettierrc                                                           | JSON           |          8 |          0 |          1 |          9 |
| h:\tools\cyclemetry\app\eslint.config.js                                                      | JavaScript     |         57 |          3 |          3 |         63 |
| h:\tools\cyclemetry\app\index.html                                                            | HTML           |         19 |          0 |          1 |         20 |
| h:\tools\cyclemetry\app\public\logo.svg                                                       | XML            |        142 |          1 |          2 |        145 |
| h:\tools\cyclemetry\app\scripts\generate_parse_debug_from_raw_samples.mjs                     | JavaScript     |         36 |          0 |          9 |         45 |
| h:\tools\cyclemetry\app\src\App.jsx                                                           | JavaScript JSX |        131 |         11 |         10 |        152 |
| h:\tools\cyclemetry\app\src\api\backend.js                                                    | JavaScript     |        131 |        128 |         29 |        288 |
| h:\tools\cyclemetry\app\src\components\ui\accordion.jsx                                       | JavaScript JSX |         36 |         29 |          8 |         73 |
| h:\tools\cyclemetry\app\src\components\ui\alert.jsx                                           | JavaScript JSX |         33 |         25 |          8 |         66 |
| h:\tools\cyclemetry\app\src\components\ui\badge.jsx                                           | JavaScript JSX |         25 |         12 |          7 |         44 |
| h:\tools\cyclemetry\app\src\components\ui\blur-input.jsx                                      | JavaScript JSX |         95 |         16 |         16 |        127 |
| h:\tools\cyclemetry\app\src\components\ui\button.jsx                                          | JavaScript JSX |         37 |         13 |          7 |         57 |
| h:\tools\cyclemetry\app\src\components\ui\color-picker.jsx                                    | JavaScript JSX |      1,255 |        176 |        177 |      1,608 |
| h:\tools\cyclemetry\app\src\components\ui\font-select-field.jsx                               | JavaScript JSX |         55 |         15 |          7 |         77 |
| h:\tools\cyclemetry\app\src\components\ui\hex-color-picker.jsx                                | JavaScript JSX |        157 |         18 |         16 |        191 |
| h:\tools\cyclemetry\app\src\components\ui\input.jsx                                           | JavaScript JSX |         20 |         12 |          6 |         38 |
| h:\tools\cyclemetry\app\src\components\ui\label.jsx                                           | JavaScript JSX |         18 |         10 |          5 |         33 |
| h:\tools\cyclemetry\app\src\components\ui\popover.jsx                                         | JavaScript JSX |         38 |         51 |         11 |        100 |
| h:\tools\cyclemetry\app\src\components\ui\progress.jsx                                        | JavaScript JSX |         19 |         11 |          5 |         35 |
| h:\tools\cyclemetry\app\src\components\ui\select.jsx                                          | JavaScript JSX |        121 |         76 |         14 |        211 |
| h:\tools\cyclemetry\app\src\components\ui\separator.jsx                                       | JavaScript JSX |         19 |         12 |          6 |         37 |
| h:\tools\cyclemetry\app\src\components\ui\simple-tooltip.jsx                                  | JavaScript JSX |         20 |         14 |          7 |         41 |
| h:\tools\cyclemetry\app\src\components\ui\slider.jsx                                          | JavaScript JSX |         45 |         14 |          7 |         66 |
| h:\tools\cyclemetry\app\src\components\ui\switch.jsx                                          | JavaScript JSX |         23 |         10 |          5 |         38 |
| h:\tools\cyclemetry\app\src\components\ui\tabs.jsx                                            | JavaScript JSX |         35 |         27 |          8 |         70 |
| h:\tools\cyclemetry\app\src\components\ui\visually-hidden-input.jsx                           | JavaScript JSX |         96 |         10 |         26 |        132 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-cadence.svg                       | XML            |         54 |          0 |          1 |         55 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-course.svg                        | XML            |          5 |          0 |          1 |          6 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-elevation.svg                     | XML            |          3 |          0 |          1 |          4 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-gradient.svg                      | XML            |          4 |          0 |          1 |          5 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-heartrate.svg                     | XML            |          3 |          0 |          1 |          4 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-label.svg                         | XML            |          5 |          0 |          1 |          6 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-power.svg                         | XML            |          3 |          0 |          1 |          4 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-speed.svg                         | XML            |          4 |          0 |          1 |          5 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-temperature.svg                   | XML            |          3 |          0 |          1 |          4 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-time.svg                          | XML            |          4 |          0 |          1 |          5 |
| h:\tools\cyclemetry\app\src\features\app-shell\components\ActionButtons.jsx                   | JavaScript JSX |         32 |         16 |          4 |         52 |
| h:\tools\cyclemetry\app\src\features\app-shell\components\ActivitySection.jsx                 | JavaScript JSX |        122 |         24 |          9 |        155 |
